date,open,high,low,close,volume
2024-01-02,820,835,795,805,21040100
2024-01-03,805,865,790,830,39626100
2024-01-04,840,850,820,840,32714800
2024-01-05,830,865,810,860,39480700
2024-01-08,860,900,850,875,33083100
2024-01-09,875,890,845,880,25884600
2024-01-10,880,975,870,940,83631296
2024-01-11,950,970,930,965,24511900
2024-01-12,965,965,920,935,13112600
2024-01-15,935,945,890,935,26248600
2024-01-16,935,980,935,965,72152896
2024-01-17,970,975,945,960,19114900
2024-01-18,960,985,955,975,11610200
2024-01-19,975,980,935,950,23472400
2024-01-22,950,960,930,955,16044000
2024-01-23,955,1005,945,1000,50743500
2024-01-24,1000,1025,960,965,33955900
2024-01-25,965,995,950,955,29944200
2024-01-26,940,1000,925,980,25381800
2024-01-29,975,980,965,975,19841700
2024-01-30,975,995,960,990,16078400
2024-01-31,990,1005,970,970,22401600
2024-02-01,980,1000,955,980,15302100
2024-02-02,980,995,965,990,10114000
2024-02-05,990,995,955,995,30413700
2024-02-06,995,995,960,960,25331100
2024-02-07,965,990,960,970,14602700
2024-02-12,975,1005,970,975,14313700
2024-02-13,975,990,965,970,9107400
2024-02-15,980,1025,970,995,21934700
2024-02-16,1000,1010,965,1000,27878300
2024-02-19,985,990,935,970,25039400
2024-02-20,970,1015,970,985,19377500
2024-02-21,1000,1085,985,1085,34226300
2024-02-22,1085,1095,1045,1050,36392500
2024-02-23,1050,1080,1050,1080,21134300
2024-02-26,1095,1095,1060,1080,26360400
2024-02-27,1080,1130,1065,1080,45428800
2024-02-28,1080,1095,1045,1085,31155000
2024-02-29,1080,1115,1070,1100,30640500
2024-03-01,1100,1170,1085,1110,31920600
2024-03-04,1110,1140,1100,1135,31786700
2024-03-05,1135,1140,1115,1140,34372300
2024-03-06,1140,1145,1090,1115,27843300
2024-03-07,1120,1120,1025,1040,54540700
2024-03-08,1050,1080,1020,1025,64777300
2024-03-13,1020,1100,1010,1055,42728800
2024-03-14,1055,1060,1000,1020,54723500
2024-03-15,1020,1035,1000,1020,68158000
2024-03-18,1025,1030,980,995,56457700
2024-03-19,995,1050,995,1010,31559000
2024-03-20,1015,1055,1000,1040,54426600
2024-03-21,1045,1060,1010,1020,32793800
2024-03-22,1030,1030,1000,1010,11396100
2024-03-25,1015,1030,995,1000,50598800
2024-03-26,1000,1040,995,1040,29523800
2024-03-27,1040,1040,1015,1030,15448200
2024-03-28,1040,1045,1005,1045,52831300
2024-04-01,1035,1040,990,1025,48625300
2024-04-02,1025,1040,1015,1035,30792300
2024-04-03,1035,1035,985,990,51625000
2024-04-04,990,1015,985,1005,36639300
2024-04-05,1005,1025,995,1015,16242800
2024-04-16,1000,1000,940,945,58582100
2024-04-17,940,965,890,940,54035900
2024-04-18,940,955,915,940,18628600
2024-04-19,940,960,875,935,39620300
2024-04-22,935,955,915,940,28209700
